               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023581,              0.0113,           0.0030529,             0.87236,             0.95984,             0.97271,             0.59526,             0.02443,           0.0076764,           0.0027723,             0.00087,             0.00087,             0.09217
                   1,            0.023979,            0.010722,           0.0027259,             0.85886,             0.96531,             0.97304,             0.57458,            0.023857,            0.007599,           0.0026388,           0.0017457,           0.0017457,            0.084246
                   2,            0.025527,             0.01101,           0.0035137,              0.9005,             0.95784,              0.9731,             0.58066,            0.024034,           0.0077733,           0.0025511,           0.0026041,           0.0026041,            0.076304
                   3,            0.026256,            0.010554,           0.0026061,              0.9129,             0.94027,             0.97169,             0.56511,            0.024279,           0.0077707,           0.0025352,           0.0034327,           0.0034327,            0.068333
                   4,            0.026905,            0.011014,           0.0032273,             0.92825,             0.92981,             0.97552,              0.5454,            0.025959,           0.0076165,           0.0026725,           0.0042192,           0.0042192,            0.060319
                   5,            0.027284,            0.010845,           0.0038698,             0.93929,             0.91416,             0.96548,             0.58417,            0.026743,           0.0076675,           0.0031071,           0.0049523,           0.0049523,            0.052252
                   6,            0.029758,            0.010965,           0.0033619,             0.95362,             0.93282,             0.97472,             0.54569,            0.027185,           0.0076242,           0.0031205,           0.0056215,           0.0056215,            0.044121
                   7,            0.031694,             0.01077,           0.0029862,             0.95805,             0.87663,             0.95094,               0.475,            0.034925,           0.0076284,           0.0032417,           0.0062174,           0.0062174,            0.035917
                   8,            0.034992,            0.010541,           0.0042844,             0.94747,             0.90909,             0.96739,             0.56251,             0.03184,            0.007635,           0.0033822,           0.0067323,           0.0067323,            0.027632
                   9,            0.033733,            0.011264,           0.0044918,             0.93018,              0.9013,             0.96009,             0.56801,            0.026763,           0.0077027,           0.0037334,           0.0071595,           0.0071595,            0.019259
                  10,            0.033226,            0.010708,           0.0045269,             0.96155,             0.87949,             0.96388,             0.47981,            0.030487,           0.0078394,           0.0038605,           0.0074943,           0.0074943,            0.010794
                  11,            0.034083,            0.010405,           0.0045226,             0.94059,             0.79486,             0.94235,              0.5266,            0.028681,           0.0079924,           0.0035361,           0.0073303,           0.0073303,           0.0073303
                  12,            0.034057,            0.011085,           0.0050646,             0.96384,               0.853,             0.96911,             0.49021,            0.031363,            0.007982,           0.0033114,           0.0073303,           0.0073303,           0.0073303
                  13,            0.032987,            0.011107,           0.0041429,             0.95892,             0.87651,             0.96827,             0.52836,            0.028757,           0.0076472,           0.0034737,           0.0068906,           0.0068906,           0.0068906
                  14,            0.033034,            0.011126,           0.0039854,             0.93961,             0.93249,             0.97594,             0.56394,            0.030304,           0.0076515,           0.0033239,           0.0064356,           0.0064356,           0.0064356
                  15,            0.029421,            0.010453,           0.0032974,             0.95503,             0.92932,             0.96799,             0.50457,            0.029073,           0.0075969,           0.0034165,           0.0059704,           0.0059704,           0.0059704
                  16,            0.031558,            0.011087,           0.0038091,             0.85346,             0.94848,             0.94179,             0.53726,            0.027958,           0.0077684,           0.0027695,              0.0055,              0.0055,              0.0055
                  17,            0.027909,             0.01044,           0.0025531,             0.91121,             0.91884,              0.9444,             0.54445,            0.025716,           0.0075049,           0.0031761,           0.0050296,           0.0050296,           0.0050296
                  18,            0.025776,            0.010594,            0.003035,             0.90381,             0.95345,             0.98347,             0.57085,             0.02523,           0.0072072,           0.0025746,           0.0045644,           0.0045644,           0.0045644
                  19,            0.026191,            0.010444,           0.0029749,             0.90516,             0.95511,             0.98337,             0.60419,            0.024972,            0.007068,           0.0025902,           0.0041094,           0.0041094,           0.0041094
                  20,            0.024711,            0.010186,           0.0024088,             0.91077,             0.94974,              0.9126,             0.55541,            0.024277,           0.0071567,            0.002451,           0.0036697,           0.0036697,           0.0036697
                  21,            0.024152,           0.0098628,            0.002572,             0.88812,             0.94335,             0.90994,             0.54046,            0.023694,           0.0071782,           0.0023911,             0.00325,             0.00325,             0.00325
                  22,            0.023627,            0.010019,             0.00216,             0.88073,             0.94289,             0.90941,             0.56501,            0.023376,           0.0071806,           0.0026238,            0.002855,            0.002855,            0.002855
                  23,            0.023202,            0.010409,           0.0018453,             0.88346,             0.97512,             0.98365,             0.62901,            0.023144,           0.0069379,           0.0021142,           0.0024889,           0.0024889,           0.0024889
                  24,            0.023481,           0.0097908,           0.0019763,             0.89853,             0.93185,             0.98094,             0.61811,            0.021788,           0.0069707,           0.0021615,           0.0021558,           0.0021558,           0.0021558
                  25,            0.023175,            0.009541,           0.0020662,             0.90876,             0.89144,             0.97753,             0.62096,            0.022402,           0.0070157,           0.0022394,           0.0018594,           0.0018594,           0.0018594
                  26,            0.023182,           0.0095024,           0.0019757,             0.89773,              0.9071,             0.97948,             0.61709,            0.021962,           0.0070053,           0.0023859,           0.0016029,           0.0016029,           0.0016029
                  27,            0.021946,           0.0096937,           0.0021686,             0.87056,             0.93866,             0.97946,             0.63111,            0.021387,           0.0069813,           0.0024061,            0.001389,            0.001389,            0.001389
                  28,            0.021077,           0.0098671,           0.0017744,             0.86475,             0.94519,             0.97871,             0.63108,            0.021488,           0.0069661,           0.0025062,           0.0012202,           0.0012202,           0.0012202
                  29,            0.021043,           0.0096884,           0.0018999,             0.87848,             0.93279,             0.94575,             0.62095,            0.021063,           0.0069168,           0.0024027,           0.0010983,           0.0010983,           0.0010983
